"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p2",236,306,1.29661016949153,113,0.478813559322034,123,193,316,0.478813559322034,0.521186440677966,0.630718954248366,2.21219210658586,1.36471615577772,2.59927761162241,0.369281045751634,0.478813559322034,0.416974169741697,6.23366577654578,"SG-SWR1","p2"
"SG-SWR1_p3",236,132,0.559322033898305,66,0.279661016949153,170,66,236,0.279661016949153,0.720338983050847,0.5,2.51633502681984,1.35758177944417,2.85919048947061,0.5,0.279661016949153,0.358695652173913,7.97107651609988,"SG-SWR1","p3"
"SG-SWR1_p4",236,105,0.444915254237288,57,0.241525423728814,179,48,227,0.241525423728814,0.758474576271186,0.457142857142857,2.38159449359452,1.72751064688115,2.94215658437947,0.542857142857143,0.241525423728814,0.334310850439883,8.80066136204736,"SG-SWR1","p4"
"SG-SWR1_p5",236,1,0.00423728813559322,1,0.00423728813559322,235,0,235,0.00423728813559322,0.995762711864407,0,1.73264359749159,2.513,3.05241262543723,1,0.00423728813559322,0.00843881856540084,361.710896114312,"SG-SWR1","p5"
"SG-SWR1_p6",236,300,1.27118644067797,113,0.478813559322034,123,187,310,0.478813559322034,0.521186440677966,0.623333333333333,2.2198097575817,1.35642970649885,2.60143362562405,0.376666666666667,0.478813559322034,0.421641791044776,6.16977178466588,"SG-SWR1","p6"
"SG-SWR1_p7",236,130,0.550847457627119,66,0.279661016949153,170,64,234,0.279661016949153,0.720338983050847,0.492307692307692,2.53001507672646,1.35604086713245,2.87050920949516,0.507692307692308,0.279661016949153,0.360655737704918,7.95913917178202,"SG-SWR1","p7"
"SG-SWR1_p8",236,99,0.419491525423729,58,0.245762711864407,178,41,219,0.245762711864407,0.754237288135593,0.414141414141414,2.42293384916465,1.74301106887102,2.98474387906814,0.585858585858586,0.245762711864407,0.346268656716418,8.61973447834334,"SG-SWR1","p8"
"SG-SWR1_p9",236,5,0.0211864406779661,2,0.00847457627118644,234,3,237,0.00847457627118644,0.991525423728814,0.6,2.89893349751245,1.98119786997665,3.51126194166709,0.4,0.00847457627118644,0.016597510373444,211.553531985442,"SG-SWR1","p9"
"SG-SWR1_p10",236,288,1.22033898305085,109,0.461864406779661,127,179,306,0.461864406779661,0.538135593220339,0.621527777777778,2.22271590014497,1.38818632252844,2.62059673334382,0.378472222222222,0.461864406779661,0.416030534351145,6.29904902877138,"SG-SWR1","p10"
"SG-SWR1_p11",236,123,0.521186440677966,66,0.279661016949153,170,57,227,0.279661016949153,0.720338983050847,0.463414634146341,2.51733839717486,1.38914673505543,2.87519064714082,0.536585365853659,0.279661016949153,0.367688022284123,7.81964729032996,"SG-SWR1","p11"
"SG-SWR1_p12",236,86,0.364406779661017,55,0.233050847457627,181,31,212,0.233050847457627,0.766949152542373,0.36046511627907,2.48022563622924,1.80329344155732,3.06649416157481,0.63953488372093,0.233050847457627,0.341614906832298,8.97646472751899,"SG-SWR1","p12"
"SG-SWR1_p13",236,6,0.0254237288135593,3,0.0127118644067797,233,3,236,0.0127118644067797,0.98728813559322,0.5,2.9392040700212,2.09727076617843,3.61074303044344,0.5,0.0127118644067797,0.0247933884297521,145.633302227885,"SG-SWR1","p13"
"SG-SWR1_p14",236,285,1.20762711864407,108,0.457627118644068,128,177,305,0.457627118644068,0.542372881355932,0.621052631578947,2.22390847058652,1.38571173382463,2.62029881784611,0.378947368421053,0.457627118644068,0.414587332053743,6.32025779674919,"SG-SWR1","p14"
"SG-SWR1_p15",236,120,0.508474576271186,66,0.279661016949153,170,54,224,0.279661016949153,0.720338983050847,0.45,2.53108086028222,1.40512068930578,2.89494982215619,0.55,0.279661016949153,0.370786516853933,7.80759194460306,"SG-SWR1","p15"
"SG-SWR1_p16",236,83,0.351694915254237,54,0.228813559322034,182,29,211,0.228813559322034,0.771186440677966,0.349397590361446,2.50649907060871,1.76621709164384,3.06627794007281,0.650602409638554,0.228813559322034,0.338557993730408,9.05687650817802,"SG-SWR1","p16"
"SG-SWR1_p18",236,305,1.29237288135593,113,0.478813559322034,123,192,315,0.478813559322034,0.521186440677966,0.629508196721312,2.22133127304434,1.34751625337038,2.5980978960967,0.370491803278689,0.478813559322034,0.417744916820702,6.21934053888636,"SG-SWR1","p18"
"SG-SWR1_p19",236,130,0.550847457627119,67,0.283898305084746,169,63,232,0.283898305084746,0.716101694915254,0.484615384615385,2.54660159562721,1.38255454131166,2.89769507480559,0.515384615384615,0.283898305084746,0.366120218579235,7.91459998043914,"SG-SWR1","p19"
"SG-SWR1_p20",236,95,0.402542372881356,56,0.23728813559322,180,39,219,0.23728813559322,0.76271186440678,0.410526315789474,2.41311925100096,1.8070318797093,3.01471536531016,0.589473684210526,0.23728813559322,0.338368580060423,8.90956058855055,"SG-SWR1","p20"
"SG-SWR1_p21",236,1,0.00423728813559322,1,0.00423728813559322,235,0,235,0.00423728813559322,0.995762711864407,0,1.66843746857526,2.513,3.01643043787617,1,0.00423728813559322,0.00843881856540084,357.447006888326,"SG-SWR1","p21"
"SG-SWR1_p22",236,300,1.27118644067797,113,0.478813559322034,123,187,310,0.478813559322034,0.521186440677966,0.623333333333333,2.2198097575817,1.35642970649885,2.60143362562405,0.376666666666667,0.478813559322034,0.421641791044776,6.16977178466588,"SG-SWR1","p22"
"SG-SWR1_p23",236,128,0.542372881355932,67,0.283898305084746,169,61,230,0.283898305084746,0.716101694915254,0.4765625,2.54675211420801,1.3748061844406,2.89413862418494,0.5234375,0.283898305084746,0.368131868131868,7.86168999405461,"SG-SWR1","p23"
"SG-SWR1_p24",236,90,0.38135593220339,57,0.241525423728814,179,33,212,0.241525423728814,0.758474576271186,0.366666666666667,2.44637658878799,1.7725312557559,3.02103053059739,0.633333333333333,0.241525423728814,0.349693251533742,8.63908730679604,"SG-SWR1","p24"
"SG-SWR1_p25",236,3,0.0127118644067797,1,0.00423728813559322,235,2,237,0.00423728813559322,0.995762711864407,0.666666666666667,1.48544402673491,2.513,2.91919731374267,0.333333333333333,0.00423728813559322,0.00836820083682008,348.844078992249,"SG-SWR1","p25"
"SG-SWR1_p26",236,294,1.24576271186441,114,0.483050847457627,122,180,302,0.483050847457627,0.516949152542373,0.612244897959184,2.2232216144239,1.3647009343995,2.60866306509531,0.387755102040816,0.483050847457627,0.430188679245283,6.06399747587945,"SG-SWR1","p26"
"SG-SWR1_p27",236,123,0.521186440677966,66,0.279661016949153,170,57,227,0.279661016949153,0.720338983050847,0.463414634146341,2.51733839717486,1.38914673505543,2.87519064714082,0.536585365853659,0.279661016949153,0.367688022284123,7.81964729032996,"SG-SWR1","p27"
"SG-SWR1_p28",236,83,0.351694915254237,54,0.228813559322034,182,29,211,0.228813559322034,0.771186440677966,0.349397590361446,2.50649907060871,1.76621709164384,3.06627794007281,0.650602409638554,0.228813559322034,0.338557993730408,9.05687650817802,"SG-SWR1","p28"
