"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,231,0.978813559322034,106,0.449152542372881,130,125,255,0.449152542372881,0.550847457627119,0.541125541125541,2.35041347833402,1.20074938472008,2.63936405295667,0.458874458874459,0.449152542372881,0.453961456102784,5.81407081476777,"SG-SWR1","p1"
"CC-UC1_p1",150,73,0.486666666666667,33,0.22,117,40,157,0.22,0.78,0.547945205479452,3.62222266036116,1.9310765014741,4.10482075805745,0.452054794520548,0.22,0.295964125560538,13.8693186219214,"CC-UC1","p1"
"WG-WGM1_p1",176,70,0.397727272727273,30,0.170454545454545,146,40,186,0.170454545454545,0.829545454545455,0.571428571428571,3.13833767690313,1.63128447345438,3.53698351814128,0.428571428571429,0.170454545454545,0.24390243902439,14.5016324243793,"WG-WGM1","p1"
"ER-APL1_p1",436,329,0.754587155963303,168,0.385321100917431,268,161,429,0.385321100917431,0.614678899082569,0.48936170212766,2.41422324513261,1.21206119944105,2.70140079005857,0.51063829787234,0.385321100917431,0.43921568627451,6.1505107273655,"ER-APL1","p1"
"CC-UC2_p1",302,177,0.586092715231788,79,0.26158940397351,223,98,321,0.26158940397351,0.73841059602649,0.553672316384181,2.20459058318779,1.70697541008443,2.78818663114814,0.446327683615819,0.26158940397351,0.329853862212944,8.45279364759467,"CC-UC2","p1"
"SG-NES2_p1",426,98,0.230046948356808,46,0.107981220657277,380,52,432,0.107981220657277,0.892018779342723,0.530612244897959,2.98997057744148,1.72832493045069,3.45355340470987,0.469387755102041,0.107981220657277,0.175572519083969,19.6702389572606,"SG-NES2","p1"
"ER-BME2_p1",191,84,0.43979057591623,34,0.178010471204188,157,50,207,0.178010471204188,0.821989528795812,0.595238095238095,3.28173589697724,1.73667062304318,3.71292544369668,0.404761904761905,0.178010471204188,0.247272727272727,15.0155073090675,"ER-BME2","p1"
"ER-BME1_p1",175,82,0.468571428571429,45,0.257142857142857,130,37,167,0.257142857142857,0.742857142857143,0.451219512195122,3.11869268710342,1.85138973026571,3.62682891930756,0.548780487804878,0.257142857142857,0.350194552529183,10.3566114695783,"ER-BME1","p1"
"ER-APU1_p1",440,308,0.7,123,0.279545454545455,317,185,502,0.279545454545455,0.720454545454545,0.600649350649351,2.34930741419894,1.35137647381614,2.71025159355988,0.399350649350649,0.279545454545455,0.328877005347594,8.24092760968613,"ER-APU1","p1"
"ER-GT1_p1",259,121,0.467181467181467,57,0.22007722007722,202,64,266,0.22007722007722,0.77992277992278,0.528925619834711,3.03754412473579,1.64498390116369,3.45436627253171,0.471074380165289,0.22007722007722,0.3,11.5145542417724,"ER-GT1","p1"
"SG-NES3_p1",194,100,0.515463917525773,57,0.293814432989691,137,43,180,0.293814432989691,0.706185567010309,0.43,2.75588453187578,1.79551727385223,3.28919166874385,0.57,0.293814432989691,0.387755102040816,8.48265219833941,"SG-NES3","p1"
"SR-PVG1_p1",52,313,6.01923076923077,24,0.461538461538462,28,289,317,0.461538461538462,0.538461538461538,0.92332268370607,3.00015367066104,1.88801391458502,3.5447875238507,0.0766773162939297,0.461538461538462,0.131506849315068,26.9551551292814,"SR-PVG1","p1"
"SG-NES1_p1",233,122,0.523605150214592,67,0.28755364806867,166,55,221,0.28755364806867,0.71244635193133,0.450819672131148,2.84169689241378,1.66636962626642,3.29424178828717,0.549180327868853,0.28755364806867,0.377464788732394,8.72728234956675,"SG-NES1","p1"
"CC-CVN2_p1",441,508,1.15192743764172,197,0.44671201814059,244,311,555,0.44671201814059,0.55328798185941,0.612204724409449,2.08935909357103,1.14469081898388,2.38238084548923,0.387795275590551,0.44671201814059,0.415173867228662,5.7382726456073,"CC-CVN2","p1"
"CC-EMN1_p1",213,129,0.605633802816901,64,0.300469483568075,149,65,214,0.300469483568075,0.699530516431925,0.503875968992248,2.74059205365553,1.59095902190314,3.16891076143441,0.496124031007752,0.300469483568075,0.374269005847953,8.46693344070758,"CC-EMN1","p1"
"CC-CVS1_p1",249,211,0.847389558232932,102,0.409638554216867,147,109,256,0.409638554216867,0.590361445783133,0.516587677725118,2.7332713464401,1.46834030956924,3.10270777192703,0.483412322274882,0.409638554216867,0.443478260869565,6.99630183865899,"CC-CVS1","p1"
"CC-CVN1_p1",182,115,0.631868131868132,40,0.21978021978022,142,75,217,0.21978021978022,0.78021978021978,0.652173913043478,3.02785837813449,1.94479041929972,3.5986297577049,0.347826086956522,0.21978021978022,0.269360269360269,13.3599129754794,"CC-CVN1","p1"
