"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,3695,15.6567796610169,186,0.788135593220339,50,3509,3559,0.788135593220339,0.211864406779661,0.949661705006766,1.17012130029516,0.703335249449563,1.36523416691889,0.0503382949932341,0.788135593220339,0.0946324090562198,14.4267083606402,"SG-SWR1","p1"
"SG-SWR1_p2",236,3695,15.6567796610169,186,0.788135593220339,50,3509,3559,0.788135593220339,0.211864406779661,0.949661705006766,1.17012130029516,0.703335249449563,1.36523416691889,0.0503382949932341,0.788135593220339,0.0946324090562198,14.4267083606402,"SG-SWR1","p2"
"SG-SWR1_p3",236,2638,11.1779661016949,145,0.614406779661017,91,2493,2584,0.614406779661017,0.385593220338983,0.945034116755118,1.27312244499257,0.7707595716184,1.48825773211001,0.0549658832448825,0.614406779661017,0.100904662491301,14.7491473175316,"SG-SWR1","p3"
"SG-SWR1_p4",236,2638,11.1779661016949,145,0.614406779661017,91,2493,2584,0.614406779661017,0.385593220338983,0.945034116755118,1.27312244499257,0.7707595716184,1.48825773211001,0.0549658832448825,0.614406779661017,0.100904662491301,14.7491473175316,"SG-SWR1","p4"
"SG-SWR1_p5",236,2026,8.58474576271187,146,0.61864406779661,90,1880,1970,0.61864406779661,0.38135593220339,0.927936821322804,1.32146434600496,0.799712713827618,1.54460624186873,0.0720631786771964,0.61864406779661,0.129089301503095,11.965408627079,"SG-SWR1","p5"
"SG-SWR1_p6",236,2026,8.58474576271187,146,0.61864406779661,90,1880,1970,0.61864406779661,0.38135593220339,0.927936821322804,1.32146434600496,0.799712713827618,1.54460624186873,0.0720631786771964,0.61864406779661,0.129089301503095,11.965408627079,"SG-SWR1","p6"
"SG-SWR1_p7",236,1623,6.8771186440678,150,0.635593220338983,86,1473,1559,0.635593220338983,0.364406779661017,0.907578558225508,1.44042600051902,0.847515073612263,1.67125966353862,0.0924214417744917,0.635593220338983,0.161377084454008,10.3562390483943,"SG-SWR1","p7"
"SG-SWR1_p8",236,1623,6.8771186440678,150,0.635593220338983,86,1473,1559,0.635593220338983,0.364406779661017,0.907578558225508,1.44042600051902,0.847515073612263,1.67125966353862,0.0924214417744917,0.635593220338983,0.161377084454008,10.3562390483943,"SG-SWR1","p8"
"SG-SWR1_p9",236,1306,5.53389830508475,153,0.648305084745763,83,1153,1236,0.648305084745763,0.351694915254237,0.882848392036753,1.56747401686002,0.901395026314242,1.80817249923655,0.117151607963247,0.648305084745763,0.198443579766537,9.11177122164299,"SG-SWR1","p9"
"SG-SWR1_p10",236,1306,5.53389830508475,153,0.648305084745763,83,1153,1236,0.648305084745763,0.351694915254237,0.882848392036753,1.56747401686002,0.901395026314242,1.80817249923655,0.117151607963247,0.648305084745763,0.198443579766537,9.11177122164299,"SG-SWR1","p10"
