"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,1266,5.36440677966102,150,0.635593220338983,86,1116,1202,0.635593220338983,0.364406779661017,0.881516587677725,1.5650904622092,0.924813242408073,1.8179075026611,0.118483412322275,0.635593220338983,0.199733688415446,9.10165689665659,"SG-SWR1","p1"
"SG-SWR1_p2",236,1266,5.36440677966102,150,0.635593220338983,86,1116,1202,0.635593220338983,0.364406779661017,0.881516587677725,1.5650904622092,0.924813242408073,1.8179075026611,0.118483412322275,0.635593220338983,0.199733688415446,9.10165689665659,"SG-SWR1","p2"
"SG-SWR1_p3",236,105,0.444915254237288,64,0.271186440677966,172,41,213,0.271186440677966,0.728813559322034,0.39047619047619,2.6141349709416,1.37842618024144,2.95529362004435,0.60952380952381,0.271186440677966,0.375366568914956,7.87308690964939,"SG-SWR1","p3"
"SG-SWR1_p4",236,140,0.593220338983051,74,0.313559322033898,162,66,228,0.313559322033898,0.686440677966102,0.471428571428571,2.56443161899553,1.30463422957278,2.87721740601523,0.528571428571429,0.313559322033898,0.393617021276596,7.30968746393058,"SG-SWR1","p4"
"SG-SWR1_p5",236,44,0.186440677966102,27,0.114406779661017,209,17,226,0.114406779661017,0.885593220338983,0.386363636363636,2.68080021669296,1.45726719124074,3.05128128308219,0.613636363636364,0.114406779661017,0.192857142857143,15.8214585048706,"SG-SWR1","p5"
"SG-SWR1_p6",236,52,0.220338983050847,33,0.139830508474576,203,19,222,0.139830508474576,0.860169491525424,0.365384615384615,2.72184924915028,1.3681329569449,3.04635045964491,0.634615384615385,0.139830508474576,0.229166666666667,13.2931656420869,"SG-SWR1","p6"
"SG-SWR1_p7",236,1238,5.24576271186441,148,0.627118644067797,88,1090,1178,0.627118644067797,0.372881355932203,0.880452342487884,1.56465329886554,0.942736155803658,1.82671601654726,0.119547657512116,0.627118644067797,0.200814111261872,9.09655205537385,"SG-SWR1","p7"
"SG-SWR1_p8",236,1238,5.24576271186441,148,0.627118644067797,88,1090,1178,0.627118644067797,0.372881355932203,0.880452342487884,1.56465329886554,0.942736155803658,1.82671601654726,0.119547657512116,0.627118644067797,0.200814111261872,9.09655205537385,"SG-SWR1","p8"
"SG-SWR1_p9",236,101,0.427966101694915,63,0.266949152542373,173,38,211,0.266949152542373,0.733050847457627,0.376237623762376,2.6554389412065,1.43160774866293,3.01676262183614,0.623762376237624,0.266949152542373,0.373887240356083,8.06864288538714,"SG-SWR1","p9"
"SG-SWR1_p10",236,131,0.555084745762712,73,0.309322033898305,163,58,221,0.309322033898305,0.690677966101695,0.442748091603053,2.62527725086367,1.21388753400201,2.89233531754321,0.557251908396947,0.309322033898305,0.397820163487738,7.27045932560518,"SG-SWR1","p10"
"SG-SWR1_p11",236,44,0.186440677966102,27,0.114406779661017,209,17,226,0.114406779661017,0.885593220338983,0.386363636363636,2.68080021669296,1.45726719124074,3.05128128308219,0.613636363636364,0.114406779661017,0.192857142857143,15.8214585048706,"SG-SWR1","p11"
"SG-SWR1_p12",236,52,0.220338983050847,33,0.139830508474576,203,19,222,0.139830508474576,0.860169491525424,0.365384615384615,2.72184924915028,1.3681329569449,3.04635045964491,0.634615384615385,0.139830508474576,0.229166666666667,13.2931656420869,"SG-SWR1","p12"
"SG-SWR1_p13",236,1204,5.10169491525424,146,0.61864406779661,90,1058,1148,0.61864406779661,0.38135593220339,0.878737541528239,1.57540885358521,0.949029518717548,1.83917646879029,0.121262458471761,0.61864406779661,0.202777777777778,9.06991135293842,"SG-SWR1","p13"
