"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"SG-SWR1_p1",236,672,2.84745762711864,122,0.516949152542373,114,550,664,0.516949152542373,0.483050847457627,0.818452380952381,1.5736226943767,0.956462059953842,1.84149614617803,0.181547619047619,0.516949152542373,0.268722466960352,6.85278074069529,"p1","SG-SWR1"
"SG-SWR1_p2",236,496,2.10169491525424,147,0.622881355932203,89,349,438,0.622881355932203,0.377118644067797,0.703629032258065,1.76120250120207,1.1054071955742,2.07936512384614,0.296370967741935,0.622881355932203,0.401639344262295,5.17719479814752,"p2","SG-SWR1"
"SG-SWR1_p3",236,683,2.89406779661017,139,0.588983050847458,97,544,641,0.588983050847458,0.411016949152542,0.796486090775988,1.66771741258625,1.00849356992275,1.94893320789064,0.203513909224012,0.588983050847458,0.302502720348205,6.44269646781116,"p3","SG-SWR1"
"SG-SWR1_p4",236,522,2.21186440677966,135,0.572033898305085,101,387,488,0.572033898305085,0.427966101694915,0.741379310344828,1.68696705028334,0.928366829637062,1.92554480579187,0.258620689655172,0.572033898305085,0.356200527704486,5.40578875107495,"p4","SG-SWR1"
"SG-SWR1_p5",236,640,2.71186440677966,126,0.533898305084746,110,514,624,0.533898305084746,0.466101694915254,0.803125,1.51989227250418,0.934062720949009,1.78396908232306,0.196875,0.533898305084746,0.287671232876712,6.20141633378969,"p5","SG-SWR1"
"SG-SWR1_p6",236,472,2,145,0.614406779661017,91,327,418,0.614406779661017,0.385593220338983,0.692796610169492,1.77133493406768,0.893930229476783,1.98412164541919,0.307203389830508,0.614406779661017,0.409604519774011,4.84399353433376,"p6","SG-SWR1"
"SG-SWR1_p7",236,220,0.932203389830508,121,0.51271186440678,115,99,214,0.51271186440678,0.48728813559322,0.45,2.13630736787053,0.993134265556016,2.35587029342437,0.55,0.51271186440678,0.530701754385965,4.4391605528988,"p7","SG-SWR1"
"SG-SWR1_p8",236,171,0.724576271186441,111,0.470338983050847,125,60,185,0.470338983050847,0.529661016949153,0.350877192982456,2.26380702871515,1.27214647649461,2.5967631622691,0.649122807017544,0.470338983050847,0.545454545454545,4.76073246416001,"p8","SG-SWR1"
"SG-SWR1_p9",236,211,0.894067796610169,121,0.51271186440678,115,90,205,0.51271186440678,0.48728813559322,0.42654028436019,2.22352234156523,1.12584971766966,2.49230599851153,0.57345971563981,0.51271186440678,0.541387024608501,4.60355694766386,"p9","SG-SWR1"
"SG-SWR1_p10",236,169,0.716101694915254,118,0.5,118,51,169,0.5,0.5,0.301775147928994,2.31114519111503,1.09242668372849,2.55632317083271,0.698224852071006,0.5,0.582716049382716,4.38691052621714,"p10","SG-SWR1"
"SG-SWR1_p11",236,205,0.86864406779661,107,0.453389830508475,129,98,227,0.453389830508475,0.546610169491525,0.478048780487805,2.19709947983727,0.957872018454615,2.39682392512247,0.521951219512195,0.453389830508475,0.485260770975057,4.93924930364024,"p11","SG-SWR1"
"SG-SWR1_p12",236,178,0.754237288135593,100,0.423728813559322,136,78,214,0.423728813559322,0.576271186440678,0.438202247191011,2.34579056109549,1.00495115801714,2.55199141584072,0.561797752808989,0.423728813559322,0.483091787439614,5.28262223079028,"p12","SG-SWR1"
"SG-SWR1_p13",236,96,0.406779661016949,80,0.338983050847458,156,16,172,0.338983050847458,0.661016949152542,0.166666666666667,2.6294654612035,1.1332282923136,2.86326648675288,0.833333333333333,0.338983050847458,0.481927710843373,5.94127796001222,"p13","SG-SWR1"
"SG-SWR1_p14",236,84,0.355932203389831,68,0.288135593220339,168,16,184,0.288135593220339,0.711864406779661,0.19047619047619,2.49599217277717,0.954556210405406,2.67229386209459,0.80952380952381,0.288135593220339,0.425,6.28775026375197,"p14","SG-SWR1"
"SG-SWR1_p15",236,89,0.377118644067797,67,0.283898305084746,169,22,191,0.283898305084746,0.716101694915254,0.247191011235955,2.53209856816848,1.26548977598965,2.83072208668658,0.752808988764045,0.283898305084746,0.412307692307692,6.86555729979953,"p15","SG-SWR1"
"SG-SWR1_p16",236,77,0.326271186440678,67,0.283898305084746,169,10,179,0.283898305084746,0.716101694915254,0.12987012987013,2.62951397553649,0.984166387158158,2.80765511150384,0.87012987012987,0.283898305084746,0.428115015974441,6.55817947687092,"p16","SG-SWR1"
"SG-SWR1_p17",236,97,0.411016949152542,81,0.343220338983051,155,16,171,0.343220338983051,0.656779661016949,0.164948453608247,2.55905495710182,1.09808311093401,2.78469904872787,0.835051546391753,0.343220338983051,0.486486486486487,5.72410360016284,"p17","SG-SWR1"
"SG-SWR1_p18",236,83,0.351694915254237,68,0.288135593220339,168,15,183,0.288135593220339,0.711864406779661,0.180722891566265,2.40346169390641,1.19171953125577,2.68268961217132,0.819277108433735,0.288135593220339,0.426332288401254,6.2924851932548,"p18","SG-SWR1"
"SG-SWR1_p19",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p19","SG-SWR1"
"SG-SWR1_p20",236,468,1.98305084745763,133,0.563559322033898,103,335,438,0.563559322033898,0.436440677966102,0.715811965811966,1.77323494178562,1.02987527896613,2.05061094530265,0.284188034188034,0.563559322033898,0.377840909090909,5.42718084771828,"p20","SG-SWR1"
"SG-SWR1_p21",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p21","SG-SWR1"
"SG-SWR1_p22",236,510,2.16101694915254,141,0.597457627118644,95,369,464,0.597457627118644,0.402542372881356,0.723529411764706,1.68203906850315,0.918240373202313,1.91635612842437,0.276470588235294,0.597457627118644,0.378016085790885,5.06950947448434,"p22","SG-SWR1"
"SG-SWR1_p23",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p23","SG-SWR1"
"SG-SWR1_p24",236,467,1.97881355932203,156,0.661016949152542,80,311,391,0.661016949152542,0.338983050847458,0.665952890792291,1.84676187047538,0.946159260459806,2.07502933771924,0.334047109207709,0.661016949152542,0.443812233285918,4.67546674492509,"p24","SG-SWR1"
"SG-SWR1_p25",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p25","SG-SWR1"
"SG-SWR1_p26",236,176,0.745762711864407,106,0.449152542372881,130,70,200,0.449152542372881,0.550847457627119,0.397727272727273,2.3242397538743,1.17544905108563,2.60456731630952,0.602272727272727,0.449152542372881,0.514563106796117,5.06170629396001,"p26","SG-SWR1"
"SG-SWR1_p27",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p27","SG-SWR1"
"SG-SWR1_p28",236,185,0.783898305084746,121,0.51271186440678,115,64,179,0.51271186440678,0.48728813559322,0.345945945945946,2.28309875888416,1.20079066926961,2.57961977318817,0.654054054054054,0.51271186440678,0.574821852731591,4.48768563848024,"p28","SG-SWR1"
"SG-SWR1_p29",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p29","SG-SWR1"
"SG-SWR1_p30",236,179,0.758474576271186,104,0.440677966101695,132,75,207,0.440677966101695,0.559322033898305,0.418994413407821,2.23222618780805,1.22674303387215,2.54710271184535,0.581005586592179,0.440677966101695,0.501204819277108,5.08195973757605,"p30","SG-SWR1"
"SG-SWR1_p31",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p31","SG-SWR1"
"SG-SWR1_p32",236,80,0.338983050847458,70,0.296610169491525,166,10,176,0.296610169491525,0.703389830508475,0.125,2.39769247288911,1.1828423696455,2.67358285190073,0.875,0.296610169491525,0.443037974683544,6.03465843714737,"p32","SG-SWR1"
"SG-SWR1_p33",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p33","SG-SWR1"
"SG-SWR1_p34",236,82,0.347457627118644,68,0.288135593220339,168,14,182,0.288135593220339,0.711864406779661,0.170731707317073,2.49383700338941,0.837586790937477,2.63073651889109,0.829268292682927,0.288135593220339,0.427672955974843,6.15128097799535,"p34","SG-SWR1"
"SG-SWR1_p35",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p35","SG-SWR1"
"SG-SWR1_p36",236,81,0.343220338983051,65,0.275423728813559,171,16,187,0.275423728813559,0.724576271186441,0.197530864197531,2.43831456626875,0.971559507659246,2.62474871197253,0.802469135802469,0.275423728813559,0.410094637223975,6.40034878227147,"p36","SG-SWR1"
"SG-SWR1_p37",236,32,0.135593220338983,28,0.11864406779661,208,4,212,0.11864406779661,0.88135593220339,0.125,2.51171712681803,1.46683233777513,2.90866292861409,0.875,0.11864406779661,0.208955223880597,13.920029729796,"p37","SG-SWR1"
"SG-SWR1_p38",236,49,0.207627118644068,39,0.165254237288136,197,10,207,0.165254237288136,0.834745762711864,0.204081632653061,2.36181147433174,1.03619556861157,2.57911897683983,0.795918367346939,0.165254237288136,0.273684210526316,9.42370395383784,"p38","SG-SWR1"
"SG-SWR1_p39",236,31,0.13135593220339,27,0.114406779661017,209,4,213,0.114406779661017,0.885593220338983,0.129032258064516,2.49333303641162,1.41290127043612,2.86583314770096,0.870967741935484,0.114406779661017,0.202247191011236,14.1699527858547,"p39","SG-SWR1"
"SG-SWR1_p40",236,47,0.199152542372881,38,0.161016949152542,198,9,207,0.161016949152542,0.838983050847458,0.191489361702128,2.40012587846624,1.05118842519463,2.62022925289878,0.808510638297872,0.161016949152542,0.268551236749117,9.75690629697835,"p40","SG-SWR1"
"SG-SWR1_p41",236,31,0.13135593220339,27,0.114406779661017,209,4,213,0.114406779661017,0.885593220338983,0.129032258064516,2.48560616175898,1.4111885980475,2.85826717621595,0.870967741935484,0.114406779661017,0.202247191011236,14.1325432601789,"p41","SG-SWR1"
