"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,196,0.830508474576271,106,0.449152542372881,130,90,220,0.449152542372881,0.550847457627119,0.459183673469388,2.43474982253672,1.09493945579799,2.66962527524104,0.540816326530612,0.449152542372881,0.490740740740741,5.43999112690627,"SG-SWR1","p1"
"SG-SWR1_p2",236,155,0.656779661016949,93,0.394067796610169,143,62,205,0.394067796610169,0.605932203389831,0.4,2.45999066415765,1.37346853917059,2.81744030918744,0.6,0.394067796610169,0.475703324808184,5.92268366071122,"SG-SWR1","p2"
"SG-SWR1_p3",236,176,0.745762711864407,105,0.444915254237288,131,71,202,0.444915254237288,0.555084745762712,0.403409090909091,2.48244011205947,1.11489008739704,2.72130277935735,0.596590909090909,0.444915254237288,0.509708737864078,5.33893688140585,"SG-SWR1","p3"
"SG-SWR1_p4",236,131,0.555084745762712,90,0.38135593220339,146,41,187,0.38135593220339,0.61864406779661,0.312977099236641,2.60839889640206,1.39944847429066,2.96010149064959,0.687022900763359,0.38135593220339,0.490463215258856,6.03531803926889,"SG-SWR1","p4"
"SG-SWR1_p5",236,196,0.830508474576271,106,0.449152542372881,130,90,220,0.449152542372881,0.550847457627119,0.459183673469388,2.43474982253672,1.09493945579799,2.66962527524104,0.540816326530612,0.449152542372881,0.490740740740741,5.43999112690627,"SG-SWR1","p5"
"SG-SWR1_p6",236,155,0.656779661016949,93,0.394067796610169,143,62,205,0.394067796610169,0.605932203389831,0.4,2.45999066415765,1.37346853917059,2.81744030918744,0.6,0.394067796610169,0.475703324808184,5.92268366071122,"SG-SWR1","p6"
"SG-SWR1_p7",236,176,0.745762711864407,105,0.444915254237288,131,71,202,0.444915254237288,0.555084745762712,0.403409090909091,2.48244011205947,1.11489008739704,2.72130277935735,0.596590909090909,0.444915254237288,0.509708737864078,5.33893688140585,"SG-SWR1","p7"
"SG-SWR1_p8",236,131,0.555084745762712,90,0.38135593220339,146,41,187,0.38135593220339,0.61864406779661,0.312977099236641,2.60839889640206,1.39944847429066,2.96010149064959,0.687022900763359,0.38135593220339,0.490463215258856,6.03531803926889,"SG-SWR1","p8"
"SG-SWR1_p9",236,196,0.830508474576271,106,0.449152542372881,130,90,220,0.449152542372881,0.550847457627119,0.459183673469388,2.43474982253672,1.09493945579799,2.66962527524104,0.540816326530612,0.449152542372881,0.490740740740741,5.43999112690627,"SG-SWR1","p9"
"SG-SWR1_p10",236,155,0.656779661016949,93,0.394067796610169,143,62,205,0.394067796610169,0.605932203389831,0.4,2.45999066415765,1.37346853917059,2.81744030918744,0.6,0.394067796610169,0.475703324808184,5.92268366071122,"SG-SWR1","p10"
"SG-SWR1_p11",236,176,0.745762711864407,105,0.444915254237288,131,71,202,0.444915254237288,0.555084745762712,0.403409090909091,2.48244011205947,1.11489008739704,2.72130277935735,0.596590909090909,0.444915254237288,0.509708737864078,5.33893688140585,"SG-SWR1","p11"
"SG-SWR1_p12",236,131,0.555084745762712,90,0.38135593220339,146,41,187,0.38135593220339,0.61864406779661,0.312977099236641,2.60839889640206,1.39944847429066,2.96010149064959,0.687022900763359,0.38135593220339,0.490463215258856,6.03531803926889,"SG-SWR1","p12"
"SG-SWR1_p13",236,172,0.728813559322034,102,0.432203389830508,134,70,204,0.432203389830508,0.567796610169492,0.406976744186047,2.45248995786952,1.16866061370464,2.71670289569459,0.593023255813954,0.432203389830508,0.5,5.43340579138918,"SG-SWR1","p13"
"SG-SWR1_p14",236,155,0.656779661016949,93,0.394067796610169,143,62,205,0.394067796610169,0.605932203389831,0.4,2.45999066415765,1.37346853917059,2.81744030918744,0.6,0.394067796610169,0.475703324808184,5.92268366071122,"SG-SWR1","p14"
"SG-SWR1_p15",236,159,0.673728813559322,101,0.427966101694915,135,58,193,0.427966101694915,0.572033898305085,0.364779874213836,2.47925801905122,1.21015540317214,2.75883968814002,0.635220125786163,0.427966101694915,0.511392405063291,5.39476077631341,"SG-SWR1","p15"
"SG-SWR1_p16",236,131,0.555084745762712,90,0.38135593220339,146,41,187,0.38135593220339,0.61864406779661,0.312977099236641,2.60839889640206,1.39944847429066,2.96010149064959,0.687022900763359,0.38135593220339,0.490463215258856,6.03531803926889,"SG-SWR1","p16"
"SG-SWR1_p17",236,100,0.423728813559322,67,0.283898305084746,169,33,202,0.283898305084746,0.716101694915254,0.33,2.47056769438243,1.15104764679251,2.72554864526624,0.67,0.283898305084746,0.398809523809524,6.83421152842879,"SG-SWR1","p17"
"SG-SWR1_p18",236,102,0.432203389830508,70,0.296610169491525,166,32,198,0.296610169491525,0.703389830508475,0.313725490196078,2.58102303990406,1.30893746092284,2.89395874350737,0.686274509803922,0.296610169491525,0.414201183431953,6.98684325218207,"SG-SWR1","p18"
"SG-SWR1_p19",236,98,0.415254237288136,66,0.279661016949153,170,32,202,0.279661016949153,0.720338983050847,0.326530612244898,2.47096908488912,1.14060807900276,2.72152071613724,0.673469387755102,0.279661016949153,0.395209580838323,6.88627211507453,"SG-SWR1","p19"
"SG-SWR1_p20",236,95,0.402542372881356,68,0.288135593220339,168,27,195,0.288135593220339,0.711864406779661,0.284210526315789,2.64030301786642,1.30913734614294,2.94703929685722,0.715789473684211,0.288135593220339,0.410876132930514,7.1725735827922,"SG-SWR1","p20"
