"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,1,5115,NA,203,16.1,327955.080080329,4309989.53873426,16.663,327954.25,4309988.75,1.14504806812655,0.562999999999999,1.27597181721241,"SG-SWR1"
0,NA,5149,NA,NA,15.6,327987.628140531,4310005.40914346,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5157,NA,NA,14.4,327987.146697141,4309998.56567987,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5116,NA,NA,14.3,327960.130575368,4309989.22956108,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,78,5117,NA,211,14,327958.064164054,4309989.85489033,10.957,327955.75,4309987.25,3.48436635389119,3.043,4.62608450940198,"SG-SWR1"
0,NA,5167,NA,NA,13.8,327984.110157016,4309991.37147676,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5004,NA,NA,13.2,327950.721344956,4310007.98196558,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5001,NA,NA,13,327957.930422169,4310012.86929154,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5110,NA,NA,12.9,327951.725134982,4309982.77085795,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,7,5107,NA,202,12.7,327952.512895571,4309988.01642299,10.745,327951.75,4309988.75,1.05836897419881,1.955,2.22309916232872,"SG-SWR1"
0,NA,5127,NA,NA,12.6,327966.72099571,4309989.08546056,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,79,5125,NA,228,12.5,327965.117311308,4309986.37847375,9.897,327965.75,4309985.75,0.891781491956435,2.603,2.75152380135009,"SG-SWR1"
0,NA,5176,NA,NA,12.2,327983.403920832,4310005.89754352,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,2,5206,NA,230,12,327972.709439227,4309982.7417017,13.271,327971.75,4309984.75,2.22571015306434,1.271,2.5630502697867,"SG-SWR1"
0,NA,5003,NA,NA,11.9,327951.79161857,4310009.25148879,NA,NA,NA,NA,NA,NA,"SG-SWR1"
