"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,23,0.0974576271186441,13,0.0550847457627119,223,10,233,0.0550847457627119,0.944915254237288,0.434782608695652,2.8533421480186,1.71897981820166,3.33113389539418,0.565217391304348,0.0550847457627119,0.1003861003861,33.1832184195036,"SG-SWR1","p1"
"SG-SWR1_p2",236,26,0.110169491525424,15,0.0635593220338983,221,11,232,0.0635593220338983,0.936440677966102,0.423076923076923,2.70344575628754,1.60456172624593,3.14376164658239,0.576923076923077,0.0635593220338983,0.114503816793893,27.4555183801529,"SG-SWR1","p2"
"SG-SWR1_p3",236,27,0.114406779661017,16,0.0677966101694915,220,11,231,0.0677966101694915,0.932203389830508,0.407407407407407,2.73678754883104,1.55916546187375,3.14976237594785,0.592592592592593,0.0677966101694915,0.121673003802281,25.8871095273214,"SG-SWR1","p3"
"SG-SWR1_p4",236,34,0.144067796610169,19,0.0805084745762712,217,15,232,0.0805084745762712,0.919491525423729,0.441176470588235,2.75532313108284,1.46524680874122,3.1206976411063,0.558823529411765,0.0805084745762712,0.140740740740741,22.1733779762816,"SG-SWR1","p4"
"SG-SWR1_p5",236,43,0.182203389830508,27,0.114406779661017,209,16,225,0.114406779661017,0.885593220338983,0.372093023255814,2.63151891219357,1.45753042024032,3.00820323634531,0.627906976744186,0.114406779661017,0.193548387096774,15.5423833877841,"SG-SWR1","p5"
"SG-SWR1_p6",236,45,0.190677966101695,29,0.122881355932203,207,16,223,0.122881355932203,0.877118644067797,0.355555555555556,2.69348183234749,1.4518908836173,3.05987442865178,0.644444444444444,0.122881355932203,0.206405693950178,14.8245640422612,"SG-SWR1","p6"
"SG-SWR1_p7",236,52,0.220338983050847,33,0.139830508474576,203,19,222,0.139830508474576,0.860169491525424,0.365384615384615,2.78530192290257,1.46379662024973,3.14652305683262,0.634615384615385,0.139830508474576,0.229166666666667,13.7302824298151,"SG-SWR1","p7"
"SG-SWR1_p8",236,67,0.283898305084746,44,0.186440677966102,192,23,215,0.186440677966102,0.813559322033898,0.343283582089552,2.78557484987625,1.39860104617566,3.11697162813952,0.656716417910448,0.186440677966102,0.29042904290429,10.7323000377986,"SG-SWR1","p8"
"SG-SWR1_p9",236,81,0.343220338983051,48,0.203389830508475,188,33,221,0.203389830508475,0.796610169491525,0.407407407407407,2.64847730325569,1.46616017769774,3.02721946553718,0.592592592592593,0.203389830508475,0.302839116719243,9.99613094349257,"SG-SWR1","p9"
"SG-SWR1_p10",236,92,0.389830508474576,55,0.233050847457627,181,37,218,0.233050847457627,0.766949152542373,0.402173913043478,2.65096126749388,1.47536399822984,3.03385803376253,0.597826086956522,0.233050847457627,0.335365853658537,9.04641304612828,"SG-SWR1","p10"
