"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"SG-SWR1_p1",236,47,0.199152542372881,33,0.139830508474576,203,14,217,0.139830508474576,0.860169491525424,0.297872340425532,2.88624344081211,1.52374337694635,3.26377007131612,0.702127659574468,0.139830508474576,0.23321554770318,13.99465045731,"SG-SWR1","p1"
"SG-SWR1_p2",236,25,0.105932203389831,14,0.0593220338983051,222,11,233,0.0593220338983051,0.940677966101695,0.44,2.68601586179718,1.81464671886451,3.24154653276978,0.56,0.0593220338983051,0.10727969348659,30.2158444661754,"SG-SWR1","p2"
"SG-SWR1_p3",236,15,0.0635593220338983,10,0.0423728813559322,226,5,231,0.0423728813559322,0.957627118644068,0.333333333333333,2.76216337639521,1.50563362077233,3.1458669898613,0.666666666666667,0.0423728813559322,0.0796812749003984,39.4806307227593,"SG-SWR1","p3"
"SG-SWR1_p4",236,9,0.038135593220339,6,0.0254237288135593,230,3,233,0.0254237288135593,0.974576271186441,0.333333333333333,2.91421560454158,1.99538814102253,3.53188709093128,0.666666666666667,0.0254237288135593,0.0489795918367347,72.1093614398469,"SG-SWR1","p4"
"SG-SWR1_p5",236,47,0.199152542372881,33,0.139830508474576,203,14,217,0.139830508474576,0.860169491525424,0.297872340425532,2.88624344081211,1.52374337694635,3.26377007131612,0.702127659574468,0.139830508474576,0.23321554770318,13.99465045731,"SG-SWR1","p5"
"SG-SWR1_p6",236,25,0.105932203389831,14,0.0593220338983051,222,11,233,0.0593220338983051,0.940677966101695,0.44,2.68601586179718,1.81464671886451,3.24154653276978,0.56,0.0593220338983051,0.10727969348659,30.2158444661754,"SG-SWR1","p6"
"SG-SWR1_p7",236,15,0.0635593220338983,10,0.0423728813559322,226,5,231,0.0423728813559322,0.957627118644068,0.333333333333333,2.76216337639521,1.50563362077233,3.1458669898613,0.666666666666667,0.0423728813559322,0.0796812749003984,39.4806307227593,"SG-SWR1","p7"
"SG-SWR1_p8",236,9,0.038135593220339,6,0.0254237288135593,230,3,233,0.0254237288135593,0.974576271186441,0.333333333333333,2.91421560454158,1.99538814102253,3.53188709093128,0.666666666666667,0.0254237288135593,0.0489795918367347,72.1093614398469,"SG-SWR1","p8"
"SG-SWR1_p9",236,47,0.199152542372881,33,0.139830508474576,203,14,217,0.139830508474576,0.860169491525424,0.297872340425532,2.88624344081211,1.52374337694635,3.26377007131612,0.702127659574468,0.139830508474576,0.23321554770318,13.99465045731,"SG-SWR1","p9"
"SG-SWR1_p10",236,25,0.105932203389831,14,0.0593220338983051,222,11,233,0.0593220338983051,0.940677966101695,0.44,2.68601586179718,1.81464671886451,3.24154653276978,0.56,0.0593220338983051,0.10727969348659,30.2158444661754,"SG-SWR1","p10"
"SG-SWR1_p11",236,15,0.0635593220338983,10,0.0423728813559322,226,5,231,0.0423728813559322,0.957627118644068,0.333333333333333,2.76216337639521,1.50563362077233,3.1458669898613,0.666666666666667,0.0423728813559322,0.0796812749003984,39.4806307227593,"SG-SWR1","p11"
"SG-SWR1_p12",236,9,0.038135593220339,6,0.0254237288135593,230,3,233,0.0254237288135593,0.974576271186441,0.333333333333333,2.91421560454158,1.99538814102253,3.53188709093128,0.666666666666667,0.0254237288135593,0.0489795918367347,72.1093614398469,"SG-SWR1","p12"
"SG-SWR1_p13",236,47,0.199152542372881,33,0.139830508474576,203,14,217,0.139830508474576,0.860169491525424,0.297872340425532,2.88624344081211,1.52374337694635,3.26377007131612,0.702127659574468,0.139830508474576,0.23321554770318,13.99465045731,"SG-SWR1","p13"
"SG-SWR1_p14",236,25,0.105932203389831,14,0.0593220338983051,222,11,233,0.0593220338983051,0.940677966101695,0.44,2.68601586179718,1.81464671886451,3.24154653276978,0.56,0.0593220338983051,0.10727969348659,30.2158444661754,"SG-SWR1","p14"
"SG-SWR1_p15",236,15,0.0635593220338983,10,0.0423728813559322,226,5,231,0.0423728813559322,0.957627118644068,0.333333333333333,2.76216337639521,1.50563362077233,3.1458669898613,0.666666666666667,0.0423728813559322,0.0796812749003984,39.4806307227593,"SG-SWR1","p15"
