"treeID.x","src","pair_id","treeID.y","obs","pred","Zobs","Xobs","Yobs","Zpred","dxy","dz","dxyz","site","Site_Tag","Tag_Number","Height","DBH","Crown_Radius","Canopy_Position","X","Y","Reference","Site_Name","Crown_Radius_Mod","Crown_Area","N","Pixel_Code","Class","Classified","DBH_bins"
1,1,1,1,5115,NA,16.1,327955.080080329,4309989.53873426,16.663,1.14504806812655,0.562999999999999,1.27597181721241,"SG-SWR1","SG-SWR15115",5115,16.1,32.8,1.8202,NA,-106.984588466298,38.921966200252,"ABLA","SG-SWR1",1.866366,14.0625,1,47,"","PICO",4
2,1,2,2,5206,NA,12,327972.709439227,4309982.7417017,13.271,2.22571015306434,1.271,2.5630502697867,"SG-SWR1","SG-SWR15206",5206,12,11.8,1.484,NA,-106.984383514317,38.921908442072,"PICO","SG-SWR1",1.588222,17,2,47,"","PICO",2
3,1,3,3,5215,NA,11.3,327969.049673184,4309982.81952466,11.449,1.85044118662452,0.148999999999999,1.85643033404336,"SG-SWR1","SG-SWR15215",5215,11.3,38.8,1.4266,NA,-106.984425726701,38.921908425469,"PICO","SG-SWR1",1.438818,13.375,3,47,"","PICO",4
4,1,4,4,5190,NA,9.6,327978.660169948,4309983.19875218,11.41,0.41335907496192,1.81,1.85660058301547,"SG-SWR1","SG-SWR15190",5190,9.6,18.5,1.2872,NA,-106.984315023995,38.921913724879,"PICO","SG-SWR1",1.43562,14.375,4,47,"","PICO",2
5,1,5,5,5126,NA,11.8,327966.220401938,4309989.77057823,11.31,3.7773612148591,0.49,3.80901007448416,"SG-SWR1","SG-SWR15126",5126,11.8,39.6,1.4676,NA,-106.984460089413,38.921970472399,"PIEN","SG-SWR1",1.42742,17.5,5,46,"","PIEN",4
6,1,6,6,5049,NA,10.6,327982.606767243,4310006.22474624,11.067,1.6553390638692,0.467000000000001,1.7199524459622,"SG-SWR1","SG-SWR15049",5049,10.6,23.2,1.3692,NA,-106.984275302591,38.922121872058,"PIEN","SG-SWR1",1.407494,4.75,6,47,"","PICO",3
7,1,78,7,5117,NA,14,327958.064164054,4309989.85489033,10.957,3.48436635389119,3.043,4.62608450940198,"SG-SWR1","SG-SWR15117",5117,14,23.8,1.648,"C",-106.984554142602,38.921969632639,"ABLA","SG-SWR1",1.398474,5.0625,7,47,"","PICO",3
9,1,7,9,5107,NA,12.7,327952.512895571,4309988.01642299,10.745,1.05836897419881,1.955,2.22309916232872,"SG-SWR1","SG-SWR15107",5107,12.7,25.4,1.5414,NA,-106.984617680894,38.92195198689,"ABLA","SG-SWR1",1.38109,6.1875,8,46,"","PIEN",3
10,1,8,10,5009,NA,9.6,327958.259594755,4310007.15837955,10.694,2.01168222828737,1.094,2.28991296507252,"SG-SWR1","SG-SWR15009",5009,9.6,24.4,1.2872,NA,-106.984556232378,38.922125507209,"PICO","SG-SWR1",1.376908,11.125,9,47,"","PICO",3
195,1,NA,195,NA,NA,NA,NA,NA,34.604,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.337528,21.0625,10,46,"","PIEN",NA
196,1,1,196,6531,NA,34.3,320850.664059817,4301035.5859128,31.452,2.05087326338226,2.848,3.50958475356504,"CC-UC1","CC-UC16531",6531,34.3,72.4,3.3126,"C",-107.064156096894,38.839908188337,"PIEN","CC-UC1",3.079064,6.3125,11,46,"","PIEN",NA
197,1,NA,197,NA,NA,NA,NA,NA,30.924,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.035768,18.375,12,46,"","PIEN",NA
198,1,NA,198,NA,NA,NA,NA,NA,30.159,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.973038,3.4375,13,46,"","PIEN",NA
199,1,2,199,6055,NA,29.3,320864.73810764,4301046.07890961,29.224,4.84644411338814,0.0760000000000005,4.84703997757338,"CC-UC1","CC-UC16055",6055,29.3,47.4,2.9026,"C",-107.063996764751,38.840005550416,"PIEN","CC-UC1",2.896368,3.8125,14,51,"Riparian shrubland",NA,5
200,1,3,200,6401,NA,25.5,320854.819580717,4301045.73899895,29.05,3.93043467818398,3.55,5.29630217788517,"CC-UC1","CC-UC16401",6401,25.5,NA,2.591,NA,-107.064110888558,38.8400004703234,"ABLA","CC-UC1",2.8821,14.4375,15,46,"","PIEN",NA
201,1,4,201,6053,NA,29.3,320864.140385894,4301038.54240281,28.791,2.00137324797785,0.509,2.06508495653845,"CC-UC1","CC-UC16053",6053,29.3,46.1,2.9026,"C",-107.064001686072,38.839937556901,"ABLA","CC-UC1",2.860862,30.5,16,46,"","PIEN",5
202,1,NA,202,NA,NA,NA,NA,NA,28.684,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.852088,15.125,17,47,"","PICO",NA
203,1,NA,203,NA,NA,NA,NA,NA,27.928,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.790096,5.9375,18,46,"","PIEN",NA
204,1,76,204,6085,NA,24.2,320853.157327669,4301030.36683342,27.068,2.21025241102033,2.868,3.62086173726935,"CC-UC1","CC-UC16085",6085,24.2,34.1,2.4844,"C",-107.064126028435,38.83986169418,"ABLA","CC-UC1",2.719576,2.75,19,46,"","PIEN",4
205,1,NA,205,NA,NA,NA,NA,NA,26.785,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69637,5.4375,20,46,"","PIEN",NA
206,1,NA,206,NA,NA,NA,NA,NA,26.657,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.685874,4.0625,21,51,"Riparian shrubland",NA,NA
207,1,5,207,6057,NA,26.3,320849.48094962,4301035.58179383,25.784,3.77231883536,0.516000000000002,3.80744604631659,"CC-UC1","CC-UC16057",6057,26.3,34.6,2.6566,"C",-107.064169719369,38.839907910405,"ABLA","CC-UC1",2.614288,5.75,22,46,"","PIEN",4
208,1,NA,208,NA,NA,NA,NA,NA,25.325,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57665,3.5,23,46,"","PIEN",NA
209,1,NA,209,NA,NA,NA,NA,NA,25.254,NA,NA,NA,"CC-UC1","CC-UC1NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.570828,23.625,24,46,"","PIEN",NA
210,1,77,210,6065,NA,22,320838.871445186,4301031.11761634,24.459,2.76129190402118,2.459,3.69748752252295,"CC-UC1","CC-UC16065",6065,22,30,2.304,"C",-107.064290726085,38.839865547397,"ABLA","CC-UC1",2.505638,19.25,25,46,"","PIEN",3
