"","x","y","focal_median"
"2180",319231.25,4299937.25,3.502
"2181",319231.75,4299937.25,3.502
"2339",319230.75,4299936.75,3.502
"2340",319231.25,4299936.75,2.755
"2341",319231.75,4299936.75,3.502
"2497",319229.75,4299936.25,3.032
"2498",319230.25,4299936.25,1.96
"2499",319230.75,4299936.25,1.96
"2500",319231.25,4299936.25,1.96
"2501",319231.75,4299936.25,2.755
"2502",319232.25,4299936.25,3.896
"2656",319229.25,4299935.75,3.032
"2657",319229.75,4299935.75,1.96
"2658",319230.25,4299935.75,1.96
"2659",319230.75,4299935.75,1.96
"2660",319231.25,4299935.75,1.641
"2661",319231.75,4299935.75,1.803
"2662",319232.25,4299935.75,2.163
"2814",319228.25,4299935.25,2.94
"2815",319228.75,4299935.25,3.032
"2816",319229.25,4299935.25,3.032
"2817",319229.75,4299935.25,2.213
"2818",319230.25,4299935.25,1.96
"2819",319230.75,4299935.25,1.641
"2820",319231.25,4299935.25,1.149
"2821",319231.75,4299935.25,1.501
"2822",319232.25,4299935.25,1.501
"2823",319232.75,4299935.25,3.068
"2973",319227.75,4299934.75,2.559
"2974",319228.25,4299934.75,2.559
"2975",319228.75,4299934.75,2.17
"2976",319229.25,4299934.75,2.213
"2977",319229.75,4299934.75,2.213
"2978",319230.25,4299934.75,2.213
"2979",319230.75,4299934.75,1.296
"2980",319231.25,4299934.75,1.149
"2981",319231.75,4299934.75,1.386
"2982",319232.25,4299934.75,1.46
"2983",319232.75,4299934.75,2.06
"2984",319233.25,4299934.75,5.595
"3131",319226.75,4299934.25,15.2
"3132",319227.25,4299934.25,11.342
"3133",319227.75,4299934.25,2.806
"3134",319228.25,4299934.25,2.806
"3135",319228.75,4299934.25,2.17
"3136",319229.25,4299934.25,2.213
"3137",319229.75,4299934.25,2.213
"3138",319230.25,4299934.25,2.213
"3139",319230.75,4299934.25,1.895
"3140",319231.25,4299934.25,1.417
"3141",319231.75,4299934.25,1.46
"3142",319232.25,4299934.25,1.753
"3143",319232.75,4299934.25,4.277
"3144",319233.25,4299934.25,8.207
"3290",319226.25,4299933.75,16.519
"3291",319226.75,4299933.75,16.982
"3292",319227.25,4299933.75,16.982
"3293",319227.75,4299933.75,2.806
"3294",319228.25,4299933.75,2.806
"3295",319228.75,4299933.75,2.17
"3296",319229.25,4299933.75,2.17
"3297",319229.75,4299933.75,2.616
"3298",319230.25,4299933.75,2.616
"3299",319230.75,4299933.75,2.616
"3300",319231.25,4299933.75,2.931
"3301",319231.75,4299933.75,2.931
"3302",319232.25,4299933.75,4.487
"3303",319232.75,4299933.75,4.778
"3304",319233.25,4299933.75,5.595
"3305",319233.75,4299933.75,11.96
"3448",319225.25,4299933.25,16.514
"3449",319225.75,4299933.25,16.514
"3450",319226.25,4299933.25,16.519
"3451",319226.75,4299933.25,16.982
"3452",319227.25,4299933.25,16.982
"3453",319227.75,4299933.25,13.101
"3454",319228.25,4299933.25,2.716
"3455",319228.75,4299933.25,2.17
"3456",319229.25,4299933.25,2.742
"3457",319229.75,4299933.25,3.632
"3458",319230.25,4299933.25,3.632
"3459",319230.75,4299933.25,5.859
"3460",319231.25,4299933.25,6.839
"3461",319231.75,4299933.25,6.839
"3462",319232.25,4299933.25,5.572
"3463",319232.75,4299933.25,4.778
