"Variable","Category","Call"
"Heat load","Topography","s(heat_load)"
"Elevation","Topography","s(elevation)"
"TWI","Topography","s(twi)"
"TPI","Topography","s(tpi)"
"Curvature","Topography","s(curvature)"
"AWC","Soil","s(awc)"
"CEC","Soil","s(cec)"
"Silt content","Soil","s(silt)"
"ksat","Soil","s(ksat)"
"pH","Soil","s(ph)"
"Organic matter","Soil","s(om)"
"SWE","Climate","s(swe)"
"ΔSWE","Climate","s(delta_swe)"
"CWD","Climate","s(cwd)"
"AET","Climate","s(aet)"
"Geology","Geology","geology"
"Elevation : Heat load","Topography : Topography","ti(elevation,heat_load)"
"Elevation : TPI","Topography : Topography","ti(elevation,tpi)"
"Elevation : SWE","Topography : Climate","ti(elevation,swe)"
"Elevation : ΔSWE","Topography : Climate","ti(elevation,delta_swe)"
"Elevation : CWD","Topography : Climate","ti(elevation,cwd)"
"Elevation : AET","Topography : Climate","ti(elevation,aet)"
"TPI : SWE","Topography : Climate","ti(tpi,swe)"
"TPI : ΔSWE","Topography : Climate","ti(tpi,delta_swe)"
"TPI : CWD","Topography : Climate","ti(tpi,cwd)"
"TPI : AET","Topography : Climate","ti(tpi,aet)"
"AWC : SWE","Soil : Climate","ti(awc,swe)"
"AWC : ΔSWE","Soil : Climate","ti(awc,delta_swe)"
"AWC : AET","Soil : Climate","ti(awc,aet)"
"AWC : CWD","Soil : Climate","ti(awc,cwd)"
"Heat load : SWE","Topography : Climate","ti(heat_load,swe)"
"Heat load : ΔSWE","Topography : Climate","ti(heat_load,delta_swe)"
"Heat load : AWC","Topography : Soil","ti(heat_load,awc)"
"Heat load : AET","Topography : Climate","ti(heat_load,aet)"
"Heat load : CWD","Topography : Climate","ti(heat_load,cwd)"
"X : Y","Spatial","ti(x,y)"
